player,position,team,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17,total,average
LeShaun Sims ,CB,TEN,8,1,23,3,0,1,0,bye,0, , , , , , , , ,36,5.1
Will Parks ,S,DEN,23,14,37,17,25,13,60,58,0, , , , , , , , ,247,30.9
Trevor Williams ,CB,LAC,56,60,75,59,38,59,62,bye,0, , , , , , , , ,409,58.4
Chris Landrum ,LB,LAC,12,21,24,15,10,14,8,bye,0, , , , , , , , ,104,14.9
Jatavis Brown ,LB,LAC,14,23,19,59,23,0,37,bye,0, , , , , , , , ,175,29.2
Anthony Brown ,CB,DAL,37,50,57,45,67,48,48,bye,0, , , , , , , , ,352,50.3
Kavon Frazier ,S,DAL,67,68,17,6,1,1,19,bye,0, , , , , , , , ,179,25.6
Blake Countess ,CB,LAR,0,10,0,0,0,0,11,0,0, , , , , , , , ,21,2.6
Romeo Okwara ,DE,DET,0,31,40,57,73,bye,42,55,0, , , , , , , , ,298,49.7
Matt Ioannidis ,DT,WAS,27,37,18,bye,31,32,36,49,0, , , , , , , , ,230,32.9
Roy Robertson-Harris ,DT,CHI,22,25,18,32,bye,23,16,16,0, , , , , , , , ,152,21.7
DeAndre Houston-Carson ,S,CHI,0,0,0,7,bye,0,0,0,0, , , , , , , , ,7,1.8
Stephen Weatherly ,DT,MIN,14,18,51,45,54,51,62,25,0, , , , , , , , ,320,40.0
Ryan Smith ,CB,TB,44,71,0,19,bye,59,2,0,0, , , , , , , , ,195,27.9
Devante Bond ,LB,TB,0,0,0,0,bye,0,6,11,0, , , , , , , , ,17,8.5
Ken Crawley ,CB,NO,64,61,42,62,59,bye,60,0,0, , , , , , , , ,348,58.0
Ronald Blair ,DE,SF,24,41,28,31,14,42,29,38,0, , , , , , , , ,247,30.9
Marqui Christian ,S,LAR,39,30,17,35,11,26,19,11,0, , , , , , , , ,188,23.5
Quinton Jefferson ,DT,SEA,48,38,38,37,39,35,bye,37,0, , , , , , , , ,272,38.9
Eric Lee ,LB,DET,0,0,0,19,8,bye,14,8,0, , , , , , , , ,49,12.3
Tony McRae ,CB,CIN,1,11,0,17,5,20,28,0,bye, , , , , , , , ,82,10.3
Lafayette Pitts ,CB,BUF,3,27,12,9,0,0,0,0,0, , , , , , , , ,51,6.4
Doug Middleton ,S,NYJ,70,55,77,0,0,0,29,0,0, , , , , , , , ,231,33.0
Trevon Coley ,DT,CLE,42,50,54,56,38,38,42,33,0, , , , , , , , ,353,44.1
Patrick Onwuasor ,LB,BAL,26,75,36,6,16,16,28,27,0, , , , , , , , ,230,28.8
Michael Pierce ,DT,BAL,26,29,0,16,0,14,35,38,0, , , , , , , , ,158,26.3
Chris Milton ,CB,IND,0,0,0,31,24,0,0,0,bye, , , , , , , , ,55,7.9
