Gm,Date,Team,Time of Pos,1st Downs,Rushing,Passing,Penalty,3rd Down Conv,4th Down Conv,Total Net Yards,Total Plays,Avg Gain,Net Yards Rushing,Rush Attempts,Avg Rush Yards,Net Yards Passing,Comp. - Att.,Yards Per Pass,Sacked - Yards Lost,Penalties - Yards,Touchdowns,Rushing TDs,Passing TDs,Other,Turnovers,Fumbles - Lost,Int. Thrown,Punts - Avg,Return Yards,Punts - Returns,Kickoffs - Returns,Int. - Returns,Kicking,Extra Points,Field Goals,Red Zone Eff.,Goal to Go Eff.,Safeties
20181021_BUF@IND,20181021,IND,33:19,22,11,10,1,7-13,1-2,376,60,6.3,220,37,5.9,156,17-23,6.8,0-0,4-35,5,1,4,0,0,1-0,0,4-47.0,0,0-0,0-0,3-0,3/5,2/4,1/1,3-4,1-1,0
20181021_HOU@JAC,20181021,HOU,29:35,15,7,7,1,8-16,0-0,272,62,4.4,141,37,3.8,131,12-24,5.5,1-8,6-35,2,1,1,0,0,2-0,0,6-39.3,0,2-0,0-0,1-0,4/4,2/2,2/2,2-3,1-1,0
20181021_HOU@JAC,20181021,JAC,30:25,15,4,11,0,9-19,0-1,259,68,3.8,70,22,3.2,189,27-42,4.5,4-28,2-15,1,0,1,0,3,3-2,1,6-39.0,26,1-21,1-5,0-0,1/1,1/1,0/0,1-1,1-1,0
20181021_CIN@KC,20181021,CIN,26:17,15,4,9,2,4-11,0-1,239,54,4.4,65,19,3.4,174,19-33,5.3,2-13,8-58,1,0,1,0,1,2-0,1,5-43.2,65,0-0,3-65,1-0,2/2,1/1,1/1,1-2,1-1,0
20181021_CIN@KC,20181021,KC,33:43,33,12,19,2,9-12,0-1,551,70,7.9,198,29,6.8,353,28-39,9.1,2-5,8-50,5,1,4,0,1,2-0,1,0-0.0,45,4-22,1-23,1-0,7/8,6/6,1/2,5-7,3-4,0
20181021_DET@MIA,20181021,DET,33:39,24,12,10,2,2-8,1-1,457,58,7.9,248,35,7.1,209,18-22,9.5,1-8,6-43,3,1,2,0,0,2-0,0,1-42.0,15,2-15,0-0,0-0,6/6,2/2,4/4,3-6,2-3,0
20181021_DET@MIA,20181021,MIA,26:21,19,4,12,3,6-11,0-0,322,54,6.0,107,19,5.6,215,22-31,6.9,4-24,4-50,3,1,2,0,0,0-0,0,4-41.8,93,1-19,3-74,0-0,3/4,3/3,0/1,1-1,1-1,0
20181021_MIN@NYJ,20181021,MIN,32:11,15,3,10,2,2-15,1-1,316,65,4.9,88,24,3.7,228,25-40,5.7,1-13,6-55,4,2,2,0,0,1-0,0,8-46.8,114,6-57,2-57,3-0,7/8,4/4,3/4,1-3,0-2,0
20181021_MIN@NYJ,20181021,NYJ,27:49,16,8,7,1,2-13,1-2,263,69,3.8,71,24,3.0,192,17-42,4.6,3-14,8-71,2,1,1,0,4,5-1,3,8-40.0,201,2-8,6-193,0-0,3/3,2/2,1/1,2-3,1-1,0
20181021_CAR@PHI,20181021,CAR,24:43,19,6,13,0,5-11,1-1,371,58,6.4,121,17,7.1,250,25-39,6.4,2-19,5-78,3,1,2,0,0,0-0,0,5-35.0,81,2-12,3-69,0-0,1/2,1/2,0/0,3-3,1-1,0
20181021_CAR@PHI,20181021,PHI,35:17,21,6,14,1,3-12,3-4,342,65,5.3,58,24,2.4,284,30-37,7.7,4-26,4-35,2,0,2,0,1,3-1,0,3-41.0,87,2-14,3-73,0-0,3/4,2/2,1/2,2-4,2-2,0
20181021_CLE@TB,20181021,CLE,26:48,17,7,8,2,3-14,0-2,305,62,4.9,119,23,5.2,186,23-34,5.5,5-29,14-114,3,1,2,0,1,2-1,0,9-45.0,88,2-46,2-42,2-0,3/3,3/3,0/0,3-5,1-2,1
20181021_CLE@TB,20181021,TB,33:12,34,8,20,6,6-13,1-1,456,88,5.2,114,32,3.6,342,32-52,6.6,4-23,8-65,3,3,0,0,4,3-2,2,4-30.3,20,4-20,0-0,0-0,4/6,2/3,2/3,3-3,2-2,0
20181021_NO@BAL,20181021,NO,33:31,26,12,12,2,6-14,4-5,339,70,4.8,134,39,3.4,205,22-30,6.8,1-7,6-52,3,1,2,0,1,1-1,0,2-40.0,28,1-12,1-16,0-0,4/4,3/3,1/1,3-4,3-3,0
20181021_NO@BAL,20181021,BAL,26:29,25,6,15,4,5-12,1-2,351,64,5.5,77,23,3.3,274,24-40,6.9,1-10,5-54,3,1,2,0,0,0-0,0,3-41.7,58,1-8,3-50,0-0,3/4,2/3,1/1,3-4,2-2,0
